from_address,no_day_active,total_tx,avg_hour_act_per_day,avg_hour_freq
0xf314ad60c32f80671d00e3de35e44a130829b795,3,11,2.0,1.3333333333333333
0x000000000035b5e5ad9019092c665357240f594e,9,1021,20.11111111111111,5.222222222222222
0x000000000000f0bc41c73af48f022f8c27b5350e,3,3,1.0,1.0
0x0ed9fa7a9222125d22502dbb4a93dd3705d777ac,4,11,2.5,1.0
0x8fe7d9643077b4ab2885cb2dad4236cc4784413f,9,233,12.333333333333334,1.4444444444444444
0xa58f22e0766b3764376c92915ba545d583c19dbc,1,1,1.0,1.0
0x5ad6211cd3fde39a9cecb5df6f380b8263d1e277,1,17,3.0,5.0
0xfcadf926669e7cad0e50287ea7d563020289ed2c,9,179,11.333333333333334,1.1111111111111112
0x0000000000000eb4ec62758aae93400b3e5f7f18,8,16,1.625,1.25
0xff2fbc735d33ae830f056107f1b551783ec4ed5b,6,19,2.3333333333333335,1.1666666666666667
0xdff523be6002e59a4a2242d99afccb502d4ed020,2,3,1.0,1.5
0xa4492fcda2520cb68657d220f4d4ae3116359c10,2,2,1.0,1.0
0x7ca898cbbed67df0b4e249b05561d3a23404eed0,2,4,2.0,1.0
0x000000000d8aaaebcb2b0ffd69bb6e3778a39515,1,13,1.0,13.0
0xc2bbe07e57508d61989251e399f96d1218b90523,5,13,1.6,1.2
0x9f0000753c76000000000e90a32ee08baa1000da,9,158,10.0,1.2222222222222223
0x6fc6750e32247565c806073118268a508b38cc77,5,12,2.0,1.2
0x1b34da94f48110b64b7a437e057ae3e794c625a2,4,22,2.25,2.0
0x4d43da00e8b1ee55c75ae4a0981766679ccf180c,9,96,3.888888888888889,2.2222222222222223
0x000000000000006f6502b7f2bbac8c30a3f67e9a,3,3,1.0,1.0
0x80d4230c0a68fc59cb264329d3a717fcaa472a13,9,72,3.4444444444444446,1.4444444444444444
0x152b59937ecb0f1030d81d2206c4cbb3fd0ce015,6,16,1.3333333333333333,2.0
0xb527c5295c4bc348cbb3a2e96b2494fd292075a7,3,11,1.6666666666666667,2.0
0xd426be0576f6d8e1c805dcd3db3e4c1d8147406b,4,8,2.0,1.0
0xba68fbd5b5b885dca5f50cbfef1fa7b4fca581d3,4,36,5.5,1.25
0xbf6f6654db1c1742377ddf89cb42b3440b6e6699,3,10,1.6666666666666667,2.0
0xdeadad06b9cfcce57d0e9118d7e2cfda52ccdead,2,3,1.0,1.5
0x8698d9d5ea99809c00426484a80be2add4e54581,9,85,5.0,1.7777777777777777
0x6dd434082eab5cd134b33719ec1ff05fe985b97b,5,18,2.8,1.2
0x000000bd31c24a2bd2835028c8f1e4d9d3f37108,7,28,3.142857142857143,1.1428571428571428
0x2d9842a37681cbfcca853d742727f94de899d384,1,1,1.0,1.0
