from_address,no_day_active,total_tx,avg_hour_act_per_day,avg_hour_freq
0x5fb5d087a67d412350060c848b826b9fb0fe92ba,9,78,4.333333333333333,2.0
0xd60b95f4b73a2ff115d5f9efe6d207493cb1ce3b,4,14,2.25,1.25
0xde68739b31618b153d2ece4d8b04e121aba20665,1,2,1.0,2.0
0xfa81b223c8d37c2f3df1e46b5d7fe9bcae1c24cd,1,1,1.0,1.0
0x05a0726f7b585a1a060a6df44de62b2c10728f99,9,395,10.11111111111111,3.111111111111111
0x7eea3d14617914d7fc2a9deb9d851abdf850ea94,6,19,2.5,1.1666666666666667
0xa3f1004e37e0ec1562c503e7297b31134878a79b,1,1,1.0,1.0
0x4ae70b9a10b2ba9fb1f99ba667f93a15b5094e77,1,2,2.0,1.0
0x29ee020c6b9b9092d03ad8f0e1293f936e48e7e3,8,18,1.75,1.125
0x4114c6d40661a836b624f7023b2969340fabe9b1,4,5,1.0,1.25
0x7d9c6e2be54299e6b8c5b256b5d5d458e585b913,9,36,3.0,1.1111111111111112
0x5e26a8dac4fcb0e49f9de18693a9290d02505e2f,1,1,1.0,1.0
0x57c1d56c48af034aa27d3991352a18b0af65e799,1,1,1.0,1.0
0x73be093b84c773fe8ee0f76ddc0829e45c215415,8,41,3.875,1.125
0x5fedb6700442b4ffdd450744fa95630cf93e9894,4,9,1.75,1.25
0xd89266ecd972ab5730374d6d4794ab52d2607a4f,9,2582,18.333333333333332,14.666666666666666
0x6496618f2979299a1288f05eb9719af0b0d1851d,7,509,4.714285714285714,5.142857142857143
0xffc5f1536d2a2b57f804abe858461940c4a7aa30,5,99,5.2,3.4
0x0def7259736f7d6af8a2a59e35ec9b1da7e0c820,5,19,2.2,1.6
0xb25004cd77464d59f9aae9a78376d42e13659367,1,1,1.0,1.0
0xaa6370cd78a61d4e72911268d84bf1ea6a976b77,3,15,3.0,1.6666666666666667
0x4230551da88495d202825f5f03fa9a351cd093b2,4,5,1.25,1.0
0x1f60fb0ab527471ef9165e14b692a0825e2f97d5,8,49,2.75,2.25
0xb9908de29536b52c6d8f527c4a7f91f1e190aebf,6,21,2.3333333333333335,1.1666666666666667
0xf6fa9ea1f64f1bbfa8d71f7f43faf6d45520bfac,9,444,2.2222222222222223,22.333333333333332
0xce34375e4e731f1f2ecb7533b8926b4fc6a36951,6,41,4.166666666666667,1.1666666666666667
0x5bcb66a3c81892a98907bac60764645530c75d42,6,21,2.6666666666666665,1.0
0x7838d9c367078374c875d1b7a239aecbfedd37ae,3,5,1.3333333333333333,1.0
0xbc20ef8c9d8b67ad2c4fba5129f7c0943878ac6c,9,171,9.777777777777779,1.5555555555555556
0x73d144daace606d3e6ba266f16024f58f750e8c5,6,22,2.6666666666666665,1.1666666666666667
0x353b7a9c1aedad804d0c32daf2373c82bff2bb55,7,38,3.7142857142857144,1.1428571428571428
0xc113d3a41dc3af4d62ad0db1e7d366a2587645ee,8,32,2.75,1.125
0xa9a0c4c86a9d9fe97d2b5d3a1cc194caef51ece1,9,640,15.555555555555555,4.0
0x27218d498ad7953afd702a1923e4a09ae96a6a9e,9,180,19.666666666666668,1.0
0xce5950f89eafa53fc8883941e0d4d8fff107aa4e,1,1,1.0,1.0
0x095a4d1b1fa8cfd4f802bdc31222b4970a815685,9,29,2.2222222222222223,1.2222222222222223
0xdec7d9fb7116d7fd226d9af62a766f99e1bba796,1,2,1.0,2.0
0x804ce29aae93007d5c3a83a446f5eaa2ddd5cf28,6,35,2.5,2.1666666666666665
0x2fc58df1f5eac4ebd5e8f653b55ef69bcc621f85,1,2,1.0,2.0
0xb36f9fb7d3c07d06cf737bd35ea012cd93d55206,1,1,1.0,1.0
0x4826002bd8d84483225706d13510b17db7f9938f,5,32,3.2,1.6
0xd6be7bfbf4fd5196da2fb8323e9bfee74b086c07,9,24,1.4444444444444444,2.0
0x86f0d31d7b721f42b67a57583ba0c4822f7a17e9,2,45,8.5,2.0
0xc2c3669f2ddc1766cf2582e6155fd61022b8ec67,6,43,3.8333333333333335,1.3333333333333333
0xef2c864b4b1a0e447ccdae234ec3256eab3e35b3,6,10,1.5,1.0
0x7d406b625eaf58587dd59419b98f9b4d09675a55,7,138,5.714285714285714,2.5714285714285716
0x96bf6c072fe2b9582180894b9c06073df1060bf5,3,6,1.3333333333333333,1.3333333333333333
0x90249ed4d69d70e709ffcd8bee2c5a566f65dade,8,23,2.0,1.25
0x63301618f43430c6d3c2af8d7a140586123b6eb4,3,4,1.0,1.3333333333333333
0xbd89c4b53a4befffba3c9cb5134b2e3fc34517fe,1,2,1.0,2.0
0x27638dca96637712a2f00f432863d6266791477b,1,7,2.0,3.0
0xe403b6094d913172f67224490bf9cbecb07e9914,2,3,1.5,1.0
0x688bc4a68b638dc50b37596b1b18c9308be897c5,7,338,13.285714285714286,2.5714285714285716
0xf450228ea8e8159f227b419e6a1d121e5211ab81,9,282,8.666666666666666,3.2222222222222223
0xba704f21dd900d675941d0a7e2256f029135cbb0,4,15,2.75,1.0
0x8a8f111b84ea66025f743a1779c89e203f6e0253,7,15,1.4285714285714286,1.2857142857142858
0xf045a0d540f5ce82c0090e08740204878b29c673,6,15,1.5,1.5
0xd95db97b20de342d22238c1f219674fe79eb727b,1,1,1.0,1.0
0x1045e66149da028a0f625624a878c6b0765712ee,7,19,1.8571428571428572,1.2857142857142858
0x760ef4f484ebf2668001b090291f84a3cdf2f3aa,9,92,9.88888888888889,1.0
0xd6b4a9db2eadd02e76e37bdcf5bc8c13242c7954,9,2325,18.88888888888889,13.444444444444445
0xa923d15a2c797ab71eda70ef0509700b7236eb61,5,41,4.4,1.4
0xd27cb163f5d253c5750b38ebdfeeb9ca198622f7,7,42,2.5714285714285716,2.0
0x90efb8aac13fdac0624e1fd07acd90a4c3c4aaf3,1,29,7.0,4.0
0xf750b0433bffb03271b4a9a47c1180244c88ab10,1,1,1.0,1.0
0x681fd5ba5bd27644f1cb63d6475df830c26b6ca3,1,1,1.0,1.0
0xe7c76d9b7ee3b35defc0477a638bf13b9b695aeb,2,6,1.0,3.0
0x0d016672e9427b7f1c35d794b992017215b10177,7,77,5.571428571428571,1.4285714285714286
0xcffd05069f618f02e49308a2d906dcb9c65b51c2,6,15,1.8333333333333333,1.1666666666666667
0x3db30fada51069769147a40d30efa202c1404f30,9,4646,23.88888888888889,21.11111111111111
0xd672893f1d5b4c1779ed5a8376abea8081d013ff,7,21,1.8571428571428572,1.4285714285714286
0xc701e8dad4cae51d100bb3ce4888a22d0a27c366,7,43,4.285714285714286,1.1428571428571428
0x708c6df466a69ecb9922d0e162332d3590d9e18b,1,2,1.0,2.0
0x4785de175dd97cec23508d7286a6b3df572b6208,6,9,1.5,1.0
0x91b1bc0b3df68a2ab844d1b21d1dea33b78565d7,9,210,7.0,3.0
0x0db588fc66972e9ba9cbbfa89017ba3675a09cac,5,50,4.0,1.8
0x318538711454ecb3b01ea88647e82dbfc5bdfe87,9,118,8.0,1.1111111111111112
0xe69a8e4df9bec4e76259704b748f5de074516a70,6,47,4.5,1.3333333333333333
0x84bcc4fc1a9f26fcc7b159cf27cd57b81f5d5bf8,7,28,1.7142857142857142,2.142857142857143
0xad51824ae0bd74c13eb60cdc20064dc48769119a,6,26,3.1666666666666665,1.0
0x78b4733fef7ee3a5e233d9d7840ac7af174ca2ad,9,497,14.555555555555555,3.0
0x20d598496ecbaddf665dc265c44ac39c528b8f81,1,1,1.0,1.0
0x0b78fae7acb84c9bf70b85e78e2985cba19f9155,5,17,2.2,1.6
0xdbdfc363c5f6cb5a2e9112f9253084327700192c,7,26,2.0,1.7142857142857142
0xf2cf8109d1c66112132180c0d0f925bdd7b4c246,9,124,6.888888888888889,2.0
0x7aa40e570548e788ec6e0554fae1c6ee30313202,2,2,1.0,1.0
0xde39feff64be58b363e7b0dd417f353c8de66729,9,1370,21.22222222222222,6.666666666666667
0x1df24dd25b6938e20598a9fe8fb189190c96dc33,1,2,1.0,2.0
0x620f1eeefbd60577a8ea25a02dc2fd200d7e694b,1,1,1.0,1.0
0x8aa8060c008c98e0eb8b451293eb3c8cdd201b65,7,50,3.7142857142857144,1.8571428571428572
0x13f28ea70d7d1fd35bc53cd257c5c58e103f979a,8,18,1.75,1.375
0x5b64a7fd9e4b0b103d5a2e25153e83ca446b284b,4,2058,21.5,23.5
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,9,4385,23.88888888888889,19.88888888888889
0xa8f53ab772dd9906b06c74889e9b996bf18e3f86,6,31,3.5,1.0
0x364c90218f6664f6c8b154ad9c3e31947cd3640c,7,33,3.4285714285714284,1.1428571428571428
0x2b92c72fca42e8074cb1ef903a84a05a15e620b8,1,1,1.0,1.0
0xc1b4eb1fe54befe3d24abe710fbe09ef82537e2f,9,2491,23.666666666666668,11.222222222222221
0x46bbf38e439aefffaedc117aeb92886bb54ad20b,3,8,1.6666666666666667,1.6666666666666667
0xa1fe806f61493f6165c513097c9c26d5b409fdf3,7,26,1.8571428571428572,1.8571428571428572
0x8ed42bed5611da447a6bc499312dd3195bac6c91,7,42,3.5714285714285716,1.2857142857142858
0x7f541bb4b36ea9abc06af5f5b0ef111174d2df9f,9,125,6.888888888888889,1.5555555555555556
0x68b2902abb4b4b676d18e5f37cc0d829a44478ce,4,13,2.5,1.25
0x4d09852b12587293deeda9228f2a819dcacc1b03,9,45,2.888888888888889,1.5555555555555556
0xd0ebf828d619c3542afc118fb694383ae012180e,3,176,3.0,9.0
0xdc0eac8eb02f234d5b6eba5b375782423af6968c,2,10,3.0,1.0
0x7cdf25d6933205ec8e02d1dcf9eb0034efea4a80,9,653,15.88888888888889,4.111111111111111
0xa69daf79ddc2079babca9ca60c9bf826f6dfdef9,8,40,4.125,1.0
0x1be9b835f34b6d01ad1ab8beb5e40a9c4f160d82,7,27,2.857142857142857,1.1428571428571428
0xa3257f71235ea679e97de482c3756965fda281c4,4,10,2.25,1.0
0x5abd14faa4fcff8dbcfe2b776df99c663600cda3,2,28,8.0,1.5
0xf4be762ae5e89cb4ab3d926ee33ed08ff5f445f3,1,2,1.0,2.0
0xfb7f91db3a7e2fa21583a1461983e624903139ff,2,3,1.5,1.0
0x34de7fa06ad0b7c9de0514fc0cade2476db2c6e0,6,40,3.6666666666666665,1.5
0xb7c562e33956519255956d73ffe47e4c0af10636,3,8,2.0,1.3333333333333333
0x2103495c64700f1b238a4a1bea9cf60201b50077,8,38,2.625,1.5
0x87189e1be03f159c162463f7846a1fbec0bc11a9,4,459,4.5,15.25
0x84e5bc3df0df0f543648f250443c6f4077218312,8,973,19.5,5.125
0x90c68617b959be20180fb542c489b6de27f920c9,7,38,3.7142857142857144,1.4285714285714286
0x296c5d09e0d526c99d2cc01d1a77f6e66d383887,5,43,4.6,1.8
0xd6abcb68d09bd88c4931818bffca9847b1363843,1,5,2.0,2.0
0x5805536427aa70e55fc2b9ae441f9b5e3267889d,8,21,2.125,1.0
0x6788431efa8651809fc28b4dacc121f6bf810ed1,2,3,1.5,1.0
0x88b20f1462b1ced77e8c867ba8a2e6060fd0d5cb,7,23,2.2857142857142856,1.1428571428571428
0xc8de43410aa048e29c7c9d8dfc39f56644e65aa4,9,434,13.88888888888889,2.6666666666666665
0x63972f28e471e62b51edbfb75cd9e7197c8b13a4,8,2969,14.625,25.625
0x95bcca2c5cc322e4b6a2d9cd8096cf74b876d4b5,7,41,3.5714285714285716,1.2857142857142858
0x8fb7f4190f4007a89b2e2df957377bedc3c9d611,8,280,15.125,1.875
0x1ed2b3409107e1e9a1af9adab00661fb9ed69d42,9,276,11.555555555555555,2.2222222222222223
0x8b6cdc30d1bb419169d38073fe5e1f28019bb291,1,1,1.0,1.0
0xcc99954275e155ab5237e27b509a901b8ecf6bb1,7,47,3.857142857142857,1.2857142857142858
0xfb4166f75c187e3de9b117406b9b08df3bf5bcd8,8,62,6.25,1.0
0x8dd30f6673c6bf0dfde9e7bd96f5b086484b8dfa,1,1,1.0,1.0
0x47195a1ff06914df29d65de40fa9bec8c1d252b1,9,1668,20.444444444444443,8.222222222222221
0xea4683327b308970ce01943acc3244da616eec8f,9,28,2.111111111111111,1.2222222222222223
0xbbf5a003cccf529e4284789f7e53cb74055b8276,2,2,1.0,1.0
0xcf8798bbe7a51051f19b73ce7d99f661196288fe,7,21,2.4285714285714284,1.0
0x1af2524c0ac1cb014a3c3d1f74e01a21ed526bca,2,4,1.0,2.0
0xf1e302a01b8e9aedd85c0656b72aeef3ced442df,2,4,1.5,1.0
0x8df23f638bb40b2c62c49dd7b7ca46723500c485,9,6085,23.666666666666668,27.88888888888889
0x57b39752c8a0b56e943d12053e3fcf842599c9e8,9,66,5.444444444444445,1.0
0xc56c0e532ace2942cb3e604127ad24fdb8d1d022,9,16,1.5555555555555556,1.0
0x10fd6824e54756f609bf08ef223e31c7e4d94e47,6,13,1.5,1.3333333333333333
0xcfb49550ce8f39c29e73ba0babc16609a63b31b1,9,180,10.0,2.0
0x0b1413e95202570287f490f6cae04f60ec1018be,9,4313,22.555555555555557,19.88888888888889
0x1de7a822a3c3dc50ee63cc06babde277a876909e,6,11,1.3333333333333333,1.3333333333333333
0xdbff48447a690279c344e298a1a2a1b1eaec69a9,1,109,12.0,9.0
0x9301fa9e49b685571ce150f55c10f209052cb59e,2,2,1.0,1.0
0xbd0a1b7b61ac506782d4f7ce16f5a8b258ab83c5,2,10,4.5,1.0
0x426960d43b5f4c70f5593244b8a8b0cc69f8b9e1,1,1,1.0,1.0
0x9329f5e4f890fc03429339087e330716c0dc6f71,6,15,2.3333333333333335,1.0
0x504df711c06b406629a78dce63fb507c95c6d8f6,7,22,2.142857142857143,1.1428571428571428
0xdae326778dcd31249da66527749d04ce0f63b508,7,37,3.4285714285714284,1.2857142857142858
0x28e73c83c0f85784543300b96a1a3c2e900f7a35,9,11615,23.555555555555557,54.0
0xe1227db6891e088ee29a2718514c62d292bf67fd,9,58,5.222222222222222,1.0
0xc77593ef5a16d53c6e9f22355b6be2e976017ed2,8,41,3.5,1.125
0xf714aceef69064ea2e996149ebb3312a03ce2f9a,1,5,2.0,2.0
0xa8297fbb76112f8753bc406d00fd6e070a5cc87e,1,2,1.0,2.0
0x6761e5bb960a7b4d327f97cf0d83e25139acd41a,9,602,19.444444444444443,2.7777777777777777
0x8a6cec6d689d87143cf9306e08c8015a5db8aeac,9,448,12.444444444444445,3.3333333333333335
0xc899ab716f2a04241d60c751141c455745ddef8b,6,23,2.5,1.1666666666666667
0x1f6e983c5fb75efa171e1f4fd9e44d24df824fc6,1,1,1.0,1.0
0xa81ce04168e41a47f68a975d67a00fbef729af9b,9,879,17.77777777777778,4.777777777777778
0x2ec255797fef7669fa243509b7a599121148ffba,9,16807,24.0,77.33333333333333
0xf66f43376792eb07bdbe7fcd65f67c9b3d2de998,1,1,1.0,1.0
0x6dd434082eab5cd134b33719ec1ff05fe985b97b,9,205,8.444444444444445,1.7777777777777777
0xd807af41337c6e69df4a95f76c6119710c4a3ac0,7,36,2.857142857142857,1.5714285714285714
0xa7bf3ee0ca4b2367159c4824d1ec0a3b4d5dd6a7,1,4,3.0,1.0
0xe04349940a1dbe8e87e89c60991472d41108a287,3,4,1.0,1.3333333333333333
0xfb8edc880358260449d33208a4e8c65b319adb9b,7,40,4.0,1.2857142857142858
0xbcee58cc6488fa285baed1c49e2f496324cdceb7,1,2,2.0,1.0
0x7c2cd76b6c3a3c50ab730c6719c1c9a5eb537664,9,641,19.666666666666668,2.888888888888889
0x482f98e0cf4f178efe559f3727f09ddf48b21380,9,4384,22.666666666666668,21.0
0x4fe3d3d009a0d53732fd179609862869b0536fd6,5,26,4.0,1.0
0xf3938337f7294fef84e9b2c6d548a93f956cc281,9,3067,23.88888888888889,13.777777777777779
0x22ae6b2d37491fb9a8db6025d3021e09566c67ef,1,1,1.0,1.0
0xe35f0c92d65f06e3c0a63baea8212ae38882cca7,9,981,19.666666666666668,4.777777777777778
0xba863086c93fb97ae74225931995b1206b7fde60,5,24,2.8,1.6
0x7814b8c5920923352bd7b6eab89920c628779d7f,5,19,1.6,2.2
0x2eefefadefe3c66d7086c8d3b99247d432383731,7,14,1.2857142857142858,1.5714285714285714
0xf6ab3535f6bcd0403919276f3731dff200caf0b8,7,26,2.142857142857143,1.5714285714285714
0x1dc30e13e1ed1e43a905b8cefb88884bc45ae958,4,7,1.75,1.0
0x139b341c75d016a2df262f9babb4f8c794484d41,8,403,16.25,2.5
0x4b43e6bd39db1481ee04ca7e3b7fdb7e4ed8fd93,8,78,3.125,3.25
0xda6909885d27e9a66121428e7552b864eabe36d1,1,1,1.0,1.0
0x51d8081e32f628a86cd1b3a50d01d59e879cd4d3,6,19,2.1666666666666665,1.3333333333333333
0xb0d4036645bff30efabc88696f343c023d4554ea,5,11,1.4,1.8
0xeea430dfe37cfe7bf42b51ca7d066a4c97d66310,7,23,2.142857142857143,1.2857142857142858
0x5c9e26d46c17d7bbbfa6524e72932ae06bbd3d64,1,8,2.0,4.0
0x4fb520ee0a14d8f0c39c5168f3098438cb3dce56,8,36,3.125,1.375
0xc1608327b8f0d389c1024c63246c1c2bb27c529c,8,39,3.375,1.0
0xeafaea40e070212a24d36aef83997cfadc5fc3dc,2,2,1.0,1.0
0xcb4f19335b108cf279c7c46bfa7907794680ed23,5,20,2.4,1.8
0x3fce1b802bfabbe42fda805940209973e3b9795c,9,153,5.555555555555555,2.3333333333333335
0xf4c288feaaede002fcf548ff5070182db982707d,7,16,1.7142857142857142,1.2857142857142858
0x54c6ac6998011ccb1f77de9170265080df02b750,7,18,2.2857142857142856,1.0
0x59c7459281b4cf2ee96c1ca2a410fdf03f51a369,9,180,10.0,2.0
0x4cff3e9409beb4f824abb6f787c2a4d63c688d69,9,20474,22.88888888888889,100.11111111111111
0x1890879c6d9f906d5240227b2c2ce9554865fd0a,9,65,4.333333333333333,1.3333333333333333
0x79b30bd23cab71811b95dd8cac32b438939f3ade,1,2,1.0,2.0
0x67dcecce970011547817a5a4dad9a86ef9a2ab63,1,2,1.0,2.0
0xa75e6cf29784efc3b98b124339140bc9cb61b518,1,2,1.0,2.0
0x20cd45c253943ce16e04d90c1c5a9a97dcafeea5,6,20,2.5,1.0
0xb9031d3c198ee327081bf1a677bf8747841dbc1b,9,2753,22.77777777777778,13.11111111111111
0xf7b64730f55d43fce8259d11a16d49c4a1e16ad4,1,50,10.0,5.0
0x413226da061ae954bdfcee5d652fb534082dece4,6,28,1.8333333333333333,2.3333333333333335
0x8bdc1d5361cd62a39239c086b33574b84db70a62,1,2,1.0,2.0
0x58415f09c66eaa5cc7369e03c9e89bdaac2f54cb,9,283,13.0,1.7777777777777777
0x83a86d0fe04ef3bc75ba95b06e7c5d22df33c23a,5,25,2.2,2.2
0x8a367e9091d28a3c548b0c8225233041acd87a4c,9,1017,18.555555555555557,5.333333333333333
0x555fd01461e38d17b084c226b6e0c5afb5f8baec,1,8,2.0,4.0
0xb2aebbd0dcd008a1f1bdb2aa48c44f32dcadd1ed,2,2,1.0,1.0
0x8f4014909519a1cd4226cd306e5e111238e611b1,4,627,21.0,6.75
0x86c3d1803b03fc509eaf7625579e77e4d21aab15,1,4,2.0,2.0
0xfea4ba0d516162f994afa8d6da51f87d4a184993,7,19,1.5714285714285714,1.8571428571428572
0xc0489ae4718c47be87fa8ee81590228da0f74be1,1,1,1.0,1.0
0x9371492a5f64f7c7d88275ba8fc32139c0233161,1,1,1.0,1.0
0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,9,189829,24.0,878.4444444444445
0x33bb2dac6dc2480b3e90fac83cf772a23ac2636b,2,6,1.0,3.0
0x2ca930d38be12b65165fcf9a066aad4d777a4e67,7,26,2.2857142857142856,1.4285714285714286
0xad44915c24a74d97489810274c368c0dd311236e,9,306,3.888888888888889,9.777777777777779
0xe19817f43b7cfe0fc2037acdedfdb669b7234d26,1,6,2.0,3.0
0x74b3eb4d5da0a62258b7a3bc66d77b3b605d8b9b,9,364,15.555555555555555,2.0
0xf9c4a799627353600905dab119287a3fa1da4c1f,6,15,1.3333333333333333,2.1666666666666665
0xfe65c0ddad57ad45082dec5319016e3e7603f0e4,9,53,5.111111111111111,1.0
0x2f2ac9074c9985d3e72fb3977bc848c7eaf28048,1,5,2.0,2.0
0x11431a89893025d2a48dca4eddc396f8c8117187,9,3819,23.88888888888889,17.22222222222222
0x2e2358552fef713cad78ca75bc48f9f359f6dca8,1,5,3.0,1.0
0x35713cb8646919058375a6aa704d32409597b10e,3,287,15.333333333333334,5.0
0xdf94e82feb8a56aaf9ef125196bef9abbddb519d,1,4,2.0,2.0
0xe1144c23c65f6118d9473679f1cd602972e6c1cb,1,1,1.0,1.0
