wallet_address,total_wklay_sent,total_wklay_received,min_date,max_date,total_wklay_tx
0x24a527c76a58ea3bc1b1b21148be62a7a6e97762,53806.0,65187.0,2022-01-17 11:45:02,2022-07-09 18:13:46,235
0x3b7fa5006c2a5bc74db4965f1cfa01a6d18c460d,463.0,8398.0,2022-04-02 03:46:43,2022-09-25 16:35:19,77
0x74df21d98b8812fe9b5f78c889e604b60ac19b73,3037.0,15459.0,2022-01-13 14:03:59,2022-09-23 00:54:14,121
0x2a8a0363ab0cfd56e36e0bfeb2e1ea11606a4971,31372.0,35489.0,2022-02-14 13:08:47,2022-05-03 09:56:42,140
0xd7c16d81c31d806edd6a8788f8cef15796e2d3d2,9478.0,25320.0,2022-01-14 23:48:30,2022-05-22 11:24:26,56
0xc9f3a1d1e922cca58263be4920f11f56f0a36733,14879.0,10999.0,2022-02-16 04:14:07,2022-04-25 06:00:21,185
0x9f41d47e611f0ab0fdb3beec457e62dd6af923e3,242.0,965.0,2022-02-24 12:47:06,2022-03-01 06:39:39,12
0x0c30070d4ddbbc9d5d076f28ed37054acef48396,4760.0,22136.0,2022-01-12 07:10:54,2022-09-23 04:03:23,135
0x7dbc269bee7d9b318de29ee83243f48b9e068f0d,6633.0,20632.0,2022-01-01 11:51:08,2022-07-21 13:54:40,138
0x9b116a9a273b4c0fde2586eff5e6d34ad333a78a,7060.0,10960.0,2022-02-06 02:29:49,2022-09-11 11:52:45,186
0xdb9f1a3b0c9cd280580edd02d67b3644bc85f47e,1793.0,3327.0,2022-01-10 05:51:39,2022-03-05 15:25:05,39
0x9d926802079f74c0bbc9f0e788d22e7700123840,27736.0,35821.0,2022-01-03 12:15:14,2022-09-18 06:35:42,365
0x4f776a7fe83430ed0ea9234a02a7bc0b91d39d33,13451.0,4828.0,2022-01-10 06:31:08,2022-07-14 15:40:23,86
0x20782b1229657e7d315f6b95fdc9559f69224fef,4739.0,7555.0,2022-05-20 15:36:29,2022-08-04 01:29:34,36
0x2c8145c3425098aacc5701517c8619c9f176f97f,2020.0,148.0,2022-02-18 09:34:04,2022-05-09 01:36:04,31
0x369831f3f41179993d925f253e884ad1f123f154,18773.0,5575.0,2022-01-27 19:30:52,2022-03-15 04:53:39,84
0xc2aac4204d48a118b2f40a73be9d56a42f73ef1b,3503.0,1584.0,2022-02-15 14:33:29,2022-06-11 11:18:17,20
0xc7e0bc811de6d269a58afdc6228c41695c898312,24170.0,4664.0,2022-02-15 14:13:15,2022-06-28 10:43:53,126
0x79ee479a275a50730791bbebf11160b7d6f0a4b1,27373.0,17200.0,2022-02-07 15:01:36,2022-04-29 01:53:06,22
